index,type,a1,a2,a3,a4,a5,a6,a7,a8,mod_factor,a1_mod,a2_mod,a3_mod,a4_mod,a5_mod,a6_mod,a7_mod,a8_mod,norm_orig,norm_mod,proj_x,proj_y,dot_u
20,integer,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
21,integer,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
22,integer,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
23,integer,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
24,integer,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
25,integer,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
26,integer,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
27,integer,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
28,integer,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
29,integer,0.00000000,-1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88787897,0.00000000,-0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.62782524,-0.70710678
30,integer,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
31,integer,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
32,integer,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.78638832,0.70710678
33,integer,0.00000000,-1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88787897,0.00000000,-0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.62782524,-0.70710678
34,integer,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
35,integer,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
36,integer,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.78638832,0.70710678
